ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
4.1.2.47	1,0	1,0	0	0	0	0
4.1.2.46	1,0	1,0	0	0	0	1,0
1.4.4.2	0,94117647	1,0	1,0	1,0	0,85714286	1,0
2.4.1.177	0,4	1,0	0	0	0	1,0
1.1.1.326	1,0	1,0	0	0	0	1,0
1.1.1.324	1,0	1,0	0	0	0	1,0
3.1.1.4	0,875	1,0	0,5	0,2	0,6	0,7368421
3.1.1.3	0,11594203	1,0	0,66666667	0,66666667	0	0,57142857
3.1.1.1	0,7	0,79245283	0	0	0	0,15037593
3.2.1.15	0,83018868	0,89795919	0,16	0,23076923	0,20689655	0,83636364
3.2.1.14	0,95789474	0,86419753	0,80924855	0,18518519	0,47058823	0,91712707
3.2.1.17	0,28571428	0,33333333	0	0	0	0,66666667
2.4.1.297	0,66666667	1,0	0	0	0	1,0
2.4.1.299	1,0	1,0	0	0	0	1,0
2.4.1.298	1,0	1,0	0	0	0	1,0
1.18.1.6	1,0	1,0	1,0	1,0	0	1,0
1.18.1.2	1,0	0,94444444	0,94444444	0,77419355	0	1,0
3.4.21.92	0,91803279	0,97076024	0,97076024	0,5210084	0	0
1.14.13.192	1,0	1,0	0	0	0	0,66666667
1.14.13.190	0,66666667	1,0	0	0	0	0
2.8.2.39	0	0	0,66666667	1,0	0	0
2.8.2.38	0	0	1,0	1,0	0	0
1.5.3.14	1,0	1,0	0,66666667	0	0	1,0
1.5.3.15	0	1,0	0	0	0	1,0
1.5.3.16	0,28571429	1,0	0,4	0,5	0	0,8
1.5.3.17	0	0,66666667	0,5	0,5	0	0,5
5.5.1.24	0,5	1,0	0,5	0,5	0	0
1.2.4.4	0,88888889	0,88888889	0,88888889	0,88888889	0	1,0
1.2.4.2	1,0	0	0	0	0	0
1.14.11.18	1,0	1,0	1,0	0,5	0	1,0
1.2.4.1	1,0	1,0	0,96969697	0,96969697	0,22222222	1,0
1.14.11.15	0,94117647	1,0	1,0	0,66666667	0	1,0
1.14.11.11	1,0	1,0	0	0	0	1,0
