EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
3.13.1       	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.5       	PRIAM        	4      	4      	0      	1.0          	0.5          	0.66666667   	4      	0.0             
1.16.5       	KAAS         	4      	4      	0      	1.0          	0.5          	0.66666667   	4      	0.0             
1.16.5       	E2P2         	4      	4      	0      	1.0          	0.5          	0.66666667   	4      	0.0             
1.16.5       	KOALA        	4      	4      	0      	1.0          	0.5          	0.66666667   	4      	0.0             
1.21.3       	Blast2Go     	5      	2      	0      	1.0          	0.71428571   	0.83333333   	3      	-0.06796282     
1.21.3       	E2P2         	5      	3      	0      	1.0          	0.625        	0.76923077   	3      	-1.18934839     
1.21.3       	PRIAM        	5      	1      	0      	1.0          	0.83333333   	0.90909091   	3      	1.2573112       
3.1.3        	E2P2         	372    	33     	0      	1.0          	0.91851852   	0.95752896   	6      	0.13725833      
3.1.3        	PRIAM        	354    	9      	0      	1.0          	0.97520661   	0.9874477    	6      	1.34046725      
3.1.3        	KOALA        	265    	19     	0      	1.0          	0.93309859   	0.96539162   	6      	0.45346224      
